content_id,content,subject,sentiment_value,sentiment_word
15414,平常心吧，我本来想买傲虎，优惠不大，钱不够，改提森林人，6月提尊贵优惠1.4w，到了9月做活动森林人全系2w，傲虎全系3w，我......   ,价格,0,优惠
3122,哈哈，25.48。优惠够给力    ,价格,0,优惠
10351,兄弟，我也云南的，你的优惠也挺大的，现在哪里来的全系3万啊。。。现傲虎全系无优惠，森林人才八千    ,价格,-1,才
7366,来湖北，我上月订的2.0蓝色时尚，优惠1万3送6次保养，本月底提车,价格,0,优惠
7785,什么都没有，就是现金优惠和给了点小东西    ,价格,0,优惠
13774,什么都没有，就是现金优惠和给了点小东西，你最好先问问看有没有车    ,价格,0,优惠
14176,原来最低也就优惠15000至16000   ,价格,0,优惠
1887,我们这里，优惠2000，我呵呵了,价格,-1,呵呵
7406,遵义优惠6000，送十万公里包养,价格,0,优惠
4799,深圳这破地方居然只优惠5K，看大家说的竟然有1万5的,价格,-1,只优惠
13784,我只看到优惠20K ，不错。呵呵,价格,0,优惠
4874,本来谈到2.5豪华优惠1万，因为想要10月份以后的车，销售推荐了特装。比尊贵只差了轮毂，很值    ,价格,1,值
1800,优惠1万，上5年保险延保两年，不交钱    ,价格,0,优惠
11525,哦，套路。。。。送的礼包也只有保养实惠点，现金优惠搞到最大，再弄几次保养。,价格,-1,套路
13603,特装确实不错，配置很实用,配置,1,实用
9319,没cd，没后视镜记忆。之家配置单里写有的,配置,-1,没
2576,长城配置好！性价比高！,配置,1,好
2576,长城配置好！性价比高！,价格,1,高
6168,特装我觉得就是多了几个不实用的配置，除了电动尾门，其他都没意义,配置,-1,不实用
471,摩雷的听爱卓和优特声听人声都非常OK，而且价格不算高。DLS的低频应该是不用担心的，建议后门装，不加低音的前提下！可以加好友聊配置方案！    ,配置,1,OK
5845,这个山寨导航屏幕很背光 换任何导航软件 我都提不起兴趣,配置,-1,背光
12116,原车的卡打开  显示所有文件 拷贝所有文件除了ini文件.   拷贝到16G卡(先格式化，我用的32G) 论坛下载的凯立德 拷贝整个文件以及ini文件到16G卡， 把ini设为只读. 插入导航开机，齐活了， 不复杂吧!,配置,0,
5968,个人感觉 改导航 没什么用 还不如手机，2.0改那个中控小彩屏真心不错。,配置,1,不错
9551,还是没有手机导航更新快  而且还有实时路况,配置,-1,没有
12573,不仅16款，斯巴鲁的导航全是到港装的国产山寨导航，分辨率正常啊,配置,-1,山寨
12054,别卖了兄弟，森林人好开不保值。买的时候尊贵值钱，卖的时候尊贵不值钱，导航也不值钱，较少的公里数和良好的车况基本无视。发票价第一年八折，往后每年一折，四年的车就还剩5-6折····,配置,-1,不值钱
1168,XT性价比不高，太贵啦！还是买2.5豪华导航版吧（2.5低配）。    ,配置,-1,贵
10921,个人意见现车导航比不上手机好用，音响改装就是花无用钱。,配置,-1,比不上
6874,我16款开导航一会儿屏幕就黑了,配置,-1,黑
532,2015款特装的导航谁升级了？,配置,0,
10491,原车CD音质好的很，我把4S送的导航拆了又换回CD机头了。纯粹，简单，实用！这也是斯巴鲁的精神！车么，是用来开的，不是用来玩APP的,配置,1,好
7907,垃圾导航 都不晓得怎么退出  比如听收音，退到主界面还是收音在响，换成USB就能切换过来，到了USB又不知道怎么退出. 先天不足啊,配置,-1,垃圾
6206,我的导航从没有死机过。,配置,0,
10723,显示屏幕应该不支持蓝光的，原装的导航太差,配置,-1,差
12821,说实话，基本上用不上车上导航，用手机更方便！音响效果不用纠结，毕竟不是想成为移动音乐厅。,配置,0,
8887,买车不到半年，导航经常卡死，现在连蓝牙都连不上,配置,-1,卡死
8626,那个貌似是设置载重胎压用的，也就是载几个人或者是拖拖车的胎压用的，原车有带内置胎压计无奈不显示数值也无适配的独立的显示屏，我加了一个外置的固特异的胎压计（之前老车上拆下的），可以显示数值总感觉安心一点。,配置,0,
15696,上下推动，切换中控显示屏，设置显示屏的,配置,0,
13481,需要DIY：把‘输入接口’焊接到汽车音响线路板的音量电位器的中线接点处和接‘地’点即完成。器材：输入接口一只、屏蔽跳线（普通跳线也可以）；工具：电烙铁、焊锡；,配置,0,
10290,已经无法重启了，黑屏了一星期    ,配置,-1,黑屏
2684,显示屏的分辨率惨不忍睹    ,配置,-1,惨不忍睹
12828,2.5有小彩屏中控，这个值,配置,1,值
7207,长按电源键可关收音机，短摁关屏幕显示。    ,配置,0,
12070,兄弟，我也是13款森林人，想换4.3彩屏的CD，请问所有按键都可以用吗？USB支持什么格式的音乐？无损支持吗？    ,配置,0,
4737,这玩意我从来没看过，真鸡肋，有倒车影像这个基本没用,配置,-1,鸡肋
5236,我觉得360全景没必要。在外面改的效果也一般。装两个前雷达就可以了。,配置,0,
17346,昨天看了傲虎ES的官方视频，发现比一般的雷达ACC牛逼很多。。如果能加就好了！！,配置,0,
11691,年前优惠了12000 送了一套前置雷达,价格,0,优惠
1262,石桥这款轮胎是进口的，我记得途虎网上面有，但是有可能要提前预定的。我觉得森林人这款车有条件可以配二套轮胎，日常使用就用石桥的原配胎，走长途自驾马牌ccc系列不错。,配置,0,
3278,轮胎型号太多，挑选真是个折磨人的事。,操控,0,
68,抗磨性能呢？我现在的胎磨损的那个还没到，主要是老化的厉害，寻思以后轮胎好好养护的，在轮胎不老化的前提下，尽量抗磨点   ,操控,0,
9284,换4条静音轮胎才是正道,舒适性,0,静音
10222,轮胎调平衡纯属扯蛋。轮胎如有动平衡问题，不换位也要调平衡。如果不存在，怎么换位都无所谓，除非有啃胎现象。,操控,0,平衡
4219,有的时候公里数多了平衡块会跑掉的，不过一万做动平衡确实早了。我4万换位做的动平衡有一个轮胎少了。   ,操控,0,平衡
6895,中控显示怎么连线的？谢谢,配置,0,连线
4517,主要难点在于拆中控和方向盘，其它没什么。另外准备几根带针脚的线。游丝用胶布固定一下就好。其它很简单。   ,配置,0,简单
12211,哈哈，也是好车，不太喜欢它中控   ,配置,1,不太喜欢
1649,人家奥迪、JEEP都曾经用过CVT，都换掉了，追求走量、节油的才选，早晚号称全是四驱的森林人要把靠摩擦而不是啮合的减速箱抛弃   ,油耗,0,
13851,追求省油的驾驶习惯，一定会加重积炭的产生，从而导致爆震，建议定期使用积炭添加剂！,油耗,0,
10634,我看LZ是11.6油耗，还行啊。跑几次高速就下来了。放心吧,油耗,1,还行
6414,不会2.0比2.5还费油吧？！我的2.5平均油耗9.6，开了3000多公里，基本是市里跑，北京那么堵车这油耗就很满意了。,油耗,1,满意
8844,10年的车 2.5排量的  目前86000KM    市区  10--12个    高速8-9个  油   出保后  一直外面保养 价格 300--500  间,油耗,0,
14074,上下班为主，平均油耗10个点多一点，保养时5000公里保养一次，价格还行,油耗,0,
6774,我的16款，跑了5000公里不到，油耗7.8 。满箱油全跑高速800公里没问题，我刚换了后视镜，配件一个礼拜就到了。唯一不满意的就是高速风噪有点大，别的没毛病。宝鸡车主留。,油耗,0,
11201,综合油耗9，除第一次除都是自己买耗材在修理厂换，小保养400元左右。,油耗,0,
16660,如果是市区拥堵的话这个油不高  我最高时候13.4冬天   我现在34000了  油耗基本上在10个左右  不用纠结了  每辆车的用车情况都是不一样的,油耗,0,
12867,一直92，偶尔出去了不了解当地油品加95(97)。5万公里从没遇到问题，省油，动力也充足，加95也没感觉有啥不同。,油耗,1,省油
12867,一直92，偶尔出去了不了解当地油品加95(97)。5万公里从没遇到问题，省油，动力也充足，加95也没感觉有啥不同。,动力,1,充足
17344,我是2.0 16款，目前5000公里，油耗9个！ 哎哎 后悔没上2.5！   ,油耗,0,
7424,我的小森虽然是2.0的，感觉油门很灵敏，起步时稍微点一下油门就窜出去了,动力,1,灵敏
13693,cvt反应慢半拍造成的，不是油门原因起步踩油，cvt改变传动比，延迟四驱起步会优先把动力传给后轮，经过传动轴，又一个延迟。给人的反应是踩油不走，条件反射没踩够，再踩等车动了油门给多了。所有你就会感觉窜了。没办法物理瓶颈，4s改不了吧。你可以试试踩油不动。等车动了，再踩。悠着点开,动力,-1,反应慢
8039,主要是车轻，森林人行驶证上的车重只有1.4t多一点，加上cvt传动，肯定比同级别省油。,油耗,1,省油
11320,4AT的一点也不省油！我2011款2.5XS纯市区百公里油耗要13.6L，高速上110KM/H的速度匀速跑的百公里油耗也要8.5L。   ,油耗,-1,不省油
3456,我的2014自豪2.0行驶13000公里平均油耗10.6，多数是在市区行驶。为啥其它车主说7至8个，有一个经济时速问题，通常讲再高的驾驶技术和习惯，市区或者市郊行驶，最低也得10个左右，这样才实事求是。   ,油耗,0,
13590,同款，8200公里，平均时速38，油表显示8.8升/100千米,油耗,0,
2705,收费一瓶198一瓶148。 不过市区跑真心积碳严重，排气管黑黑的。 油耗13.8。    ,油耗,0,
5711,怪不得我的油耗13.6。。。95油，9毛6一公里，全市区。,油耗,0,
4795,我的油耗10升左右，加98号的,油耗,0,
14456,我这里也是93改92，97改95，不过油耗没这么明显的变化，反正是感觉不出。,油耗,0,
14624,我油耗13以内就很满意了,油耗,1,满意
12848,娘胎带的唯一缺点就是油耗比现款略高。    ,油耗,-1,略高
13073,你算少了的了，16款2.0，油耗13.6，全市区，跑了2003公里,油耗,0,
5778,油性液体在收到重力会出现什么情况呢？   ,油耗,0,
7323,我经常跑济南，我都走青兰高速，车少还是三车道，青岛到诸城限速120，诸城到济南限速100，好跑，省油。,油耗,1,省油
5239,比如挂d挡不加油走，走了一小节就会熄火，或挂d挡要起步，加一下油马上把油门丢了会熄火。    ,动力,-1,熄火
2685,11款，10.6万了，市内平均 11个油左右，高速 9.5左右，4AT的基本就这样了。,油耗,0,
13459,个人感觉开高速不一定省油，即使不堵车，也得看去哪，过年时，由北京向山西陕西方向一路上坡，油耗也得9-10个，返回一路下坡可以7-8个甚至更低，2.5的,油耗,0,
6862,上下坡肯定会有影响的，但总体来说油耗挺满意的    ,油耗,1,满意
2290,2.0 平均油耗10个 不到四千公里,油耗,0,
8914,楼主开车真省油！我的2.5尊，去年6月20日提车，目前2.1万公里，综合油耗7.5，已经很知足。,油耗,1,知足
11455,我2.5车子，济南到青岛高速全路段限速80公里，我定速巡航，显示油耗5.8！！,油耗,0,
13174,当然是很高的水平了！我大部分高速，现在2.2W油耗还得7.0多呢！,油耗,-1,还得
11159,xt，8.6 我感觉显示的不准，实际油耗会更高,油耗,0,
10668,我是16款2.5的，东北冬天温度低，原加92乙醇汽油感觉肉，后改加95纯汽油，感觉有力了。原来平均耗油8.2升，进入冬天，现在综合耗油8.5升。,油耗,0,
12347,我今天油耗跑成9.8了，你又降了吗？   ,油耗,0,
14838,开了三百多公里，大概13.5油。说起B格，我开森林人的时候，总是觉得比CRV，途观高那么一点，呵呵    ,油耗,0,
8807,13款2.5，，11个油飘过，8个油也就安安静静跑长途时候，现在高速基本9.6个油。。大油门13个油基本～～ 这车大油门，油耗挺大，温柔开油耗确实不高～～,油耗,1,不高
7638,提车3天，开了400多公里。油耗惊人的低啊。。。,油耗,1,低
14496,初看以为是中国有柴油版手动森林人呢。吓我一跳，原来是外国，油耗确实很低，怎么做到的？路况很好吗？还是基本都是长途？我的纯市区和两公里内短途。油耗9点4。,油耗,0,
6715,我的09款手动，最低油耗在6升油。国道60时速最省油，你的5点2，难道说柴油比汽油省油的缘故，好羡慕你能生活在荷兰这样的发达国家。很有优越感吧？是留学还是定居？    ,油耗,0,
3800,楼主，我的09款手动，最低油耗在6升油。国道60时速最省油，你的5点2，难道说柴油比汽油省油的缘故，好羡慕你能生活在荷兰这样的发达国家。很有优越感吧？是留学还是定居？    ,油耗,0,
7543,2.5豪    原加93   现加95 没感觉有啥特别的差别 就是油耗高了。仅供参考。,油耗,0,没感觉
7617,一样的，高速上120 140 160满载的情况油耗上9个很正常，我的跑了3000多高速好不容易才降到8.6，以前一直在8.2---8.4之间。,油耗,0,
12695,我6挡手动，感觉80最省油    ,油耗,0,
11699,市区平均20多点，油耗11.5,油耗,0,
5392,2.0老森高速最省油的时速100-110，7.6左右，120就要8.3,油耗,0,
5427,手动6档80迈。省油罡刚的。,油耗,0,
7356,是80，其实60的油耗和80差不多，只不过80是又快又省的最高速度了。,油耗,0,差不多
16250,过段时间会黄一些 珍珠白油漆很难做 业界难题 除非整车,动力,-1,肉
16576,我是山东人，现在油耗降到9.6了，以前加的都是98号，现在开始加95号汽油了。98号汽油更换成95号，没发现明显差别。,油耗,0,
11895,垃圾石墨烯。楼主不信试试就知道了。噪音大。提速慢。轻微烧机油。油耗高。亲自体验结论。现在脱保换的其他机油。,油耗,-1,高
9010,啥车都有各种毛病。14年底入了蒙迪欧，市区油耗高的一逼，发动机哒哒哒烦死了。前两天买了个电动，说明书说的最大续航220公里，充了一次电跑了三十多公里电量还有68％可能是我开的比较快。                ,油耗,-1,高
14451,福特的发动机耐用，就是油耗高，我一朋友的蒙迪欧在根本不堵的路况下一公里一元，另外福特的纯电动车还是算了吧，纯电动车没有靠谱的，还是丰田的混动车省心，不如买辆二手的雷克萨斯ct200，价格便宜不少，油耗低，质量好，买一辆三年车龄的，还有三年质保，人家6年质保，外加电池8年20万公里质保，丰田的混动车口碑誉满全球    ,油耗,-1,高
7706,用过两款减震机了，CUSCO、RSR，目前觉得还是原厂最舒适。,舒适性,0,原厂
6785,这车就这样，蹦蹦嗒嗒的。估计lz以前开的车舒适性不错才有这样感觉。,舒适性,0,
8489,看你的需求，米胖子应该比较适合你，安静舒适,舒适性,0,
2138,咱俩只差一个月我刚跑了15000 去这些地方开着感觉咋样？顺便问你一下你的空调出风口有没有坏？或者听说别人是否有坏的,舒适性,0,空调
6199,有时候如果熄火前没有关空调制冷压缩机，启动的时候压缩机会自动启动，发出类似阀门开起的那种声音，不晓得是不是你听到的那种,舒适性,0,空调
12099,不开空调默认是开打外循环的，要打开内循环可以不用开空调，直接按空调控制上的内循环开关就可以了，这时空调显示屏上没有温度等信息，只有一个回绕的小箭头汽车图标。,舒适性,0,空调
3622,冷空调开起来都是后面先凉。    ,舒适性,0,空调
11277,空调开一档 二档 声音比出风声都大    ,舒适性,-1,大
1295,2.5雨天开空调都感觉动力不佳，油门后段不行。,动力,-1,不佳
13673,其实是一部很普通的车，唯一亮点不是合资车，钣金的厚度和强度，内饰的落后，棒棒糖，后出风口之类的配置，吹什么经典，此时来看早已赶不上时代的变化，垄断不降价，售后保养达到和超过BBA的费用，让用户望而生畏。,内饰,-1,普通
14520,除了内饰差点，贵点，其他还好,内饰,0,还好
15160,看我的帖子，拿手一掰就拆开了，很好拆，特么森林人内饰太松垮了,内饰,-1,松垮
1790,没有大事故，就是内饰有些旧！需要回来重新搞！谢谢！    ,内饰,-1,旧
10146,斯巴鲁确实是好车，就是内饰上面做工差了些   ,内饰,-1,差
5425,这车的内饰不改改怎么可能卖得好,内饰,-1,不改改
5562,内饰照片上传一下，6速手动，开起来真舒服啊。,动力,1,舒服
16436,发现傲虎后排座椅的包裹性设计，比森林人好那么一点点,内饰,-1,一点点
8768,建议去4S弄吧，这个是一整块的，从座椅靠背旁边容易裂开的那里一直到后面，自己弄弄不好异响更多。,内饰,0,
15086,没有必要，只想要原装电动座椅    ,内饰,0,
1423,请问后排座椅靠背的角度可调吗   ,内饰,0,
13951,后加的腰部支撑支持座椅记忆吗？    ,内饰,0,
8542,就是这里，做工不细致。农用车本色。这个地方高速起来就是一个噪音腔，把缝隙贴上马上就没那个声音了    ,内饰,-1,不细致
17134,有人追求安全可靠抵达，有人追求比赛刺激，需求不同，我是前者,安全性,0,
3248,对了。。如果你要7座的。不如直接GT顶配。。有ACC还是会安全很多。。看测试可以直接刹停车的，对了。。森林人没有7座，这也是加分的。。比如多带2个小朋友之类的,安全性,0,
9315,防爆胎只是俗称，缺气保用轮胎并不防爆，条件合适一样爆。不过胎侧厚点确实要安全点,安全性,0,
6492,觉得不舒服可以别买森林人呀，反对非法改装，原厂的座椅都是经过厂家反复测试的，安全都保障，这种外面路边店的货，除了骗钱还能怎样？一旦出了车祸，小命都不保！    ,配置,0,
13895,没有鹰眼，安全性要打很大的折扣,安全性,0,
9565,全时四驱不仅体现在雨雪恶劣天气下的路况通过表现，同时也是日常驾驶良好的抓地力等主动安全的保证，底盘表现秒杀同价位其他车系品牌说得一点也不为过。真心希望关注喜欢它的人多多去4s店去试驾一番，它的确名符其实。    ,安全性,0,
15219,江浙沪一带与广东一带有很多千万级身价的老板都买斯巴鲁森林人或傲虎玩。他们平时商务用桥车，休闲与户外时都用斯巴鲁，低调、安全又耐用。    ,安全性,1,耐用
2197,我经常上三千转 高速除了紧急情况很少上两千五，市区没办法，想保持安全距离就老要被加塞，只有开的冲点 这个6.0的油耗是因为那天高速车比较多，时速在80到100之间，所以油耗才那么低，之前120的时速油耗大海在7到8之间吧    ,油耗,0,
10183,16款的灯都不给力，那估计得上激光大灯了 左低右高处于安全行车考虑的,安全性,0,
15467,车子是自己开的，啥车都有小毛病，但安全性最重要，可以自己百度一下“3.15调查 某特断轴致两死”,安全性,0,
2710,不过出行还是慢慢开安全第一，现在想起来在过一个隧道的时候，注意力不太集中，前面有个大车在隧道里居然没有尾灯，差点追尾,安全性,0,
8218,新手的话建议途观，行车安全辅助多些，不是新手试驾后就有结论了,安全性,0,
12457,我只能这样说用了7个月，感觉森的操控还是非常棒的比我以前的卡罗拉要好很多，缺点就是很多配置内饰比较挫，刹车嘎吱嘎吱的，很多东西要自己慢慢习惯就是。看你银子多少，银子多就上傲虎吧，银子少就上森。傲虎体面点内饰。   ,安全性,0,
12457,我只能这样说用了7个月，感觉森的操控还是非常棒的比我以前的卡罗拉要好很多，缺点就是很多配置内饰比较挫，刹车嘎吱嘎吱的，很多东西要自己慢慢习惯就是。看你银子多少，银子多就上傲虎吧，银子少就上森。傲虎体面点内饰。   ,内饰,-1,挫
4946,停下车的时候，刹车不要重踩，就不会启动启停，轻轻带着刹车就不会启动启停，反之。,安全性,0,
943,哥们儿的12款森林人2.5车9.7万公里了，走南闯北，青藏进川臧出，什么毛病都没，上个星期才换的刹车片，除了雨刮，我就在七万公里换了一次轮胎。,安全性,0,
12458,看看刹车油是否需要更换,安全性,0,
5248,刹车软只是脚感。感觉刹不住继续踩啊，我就不信你踩到底轮子不抱死？原厂刹车足够用了，别换，费钱,安全性,-1,软
12948,1、噪音，可以考虑做个全车隔音，效果很不错。2、刹车软，我也觉得，所以我换了好点的刹车皮，效果杠杠的，至于品牌，很多不错的，我选了dixcel。,安全性,-1,软
6047,1、噪音，可以考虑做个全车隔音，效果很不错。2、刹车软，我也觉得，所以我换了好点的刹车皮，效果杠杠的，至于品牌，很多不错的，我选了dixcel。3、至于行车下锁，自动升窗，一健升窗等功能，在x宝上面大把这种控件，并且是无损安装，还有多合一的，找个信誉销量好的店家，最好是本地的，直接去它店面安装。,舒适性,0,
7644,我就是拉开车距经常被人插队啊，这车油门有点串，刹车有点肉，车多时适合被插     ,安全性,0,
7644,我就是拉开车距经常被人插队啊，这车油门有点串，刹车有点肉，车多时适合被插     ,动力,0,
5758,为了舒适性，森林人刹车都是前段软，再往下踩就有劲了    ,安全性,0,
8921,紧急刹车最好是点刹，就是用力踩下去，抬起来，再踩下去，再抬起来。,安全性,0,
412,主要是森林人的轮胎抓地力不强。我后来听别的群友，改了钢喉、换刹车油，效果很好；后来轮胎（同规格，但是抓地力好些）也换了，现在刹车效果很满意。,安全性,-1,不强
5279,森的刹车的确差劲，大家可以原地试试，踩住刹车一直往下踩，刹车踏板就会慢慢下去的！根本没有余量！狠狠的连续多踩几脚用力踩下去，踏板还是会慢慢下去。我试过16款，15特装款都是这个样子！并且我特意试过一次120下一脚急刹车ABS没有起动。这个刹车我也是醉了,安全性,-1,差劲
13572,软。加了刹车顶都觉得有点软。,安全性,-1,软
106,谢谢你的回复，第一个森友，今天换上了原厂的，打开一看，之前原厂的拆下来也只有2-3MM，估计撑个5000公里左右，还是要继续换啊。基本可以说我一付原厂刹车片就搞3万公里，日本进口DIXCEL只搞了2.7万公里。   ,安全性,0,
15668,冰路 切记！不要踩刹车！   ,安全性,0,
5700,恩，对的，冰雪路面尤其是速度快的时候不要踩刹车，下山的时候速度快了点，前面的一个车子突然速度慢下来，我本能的深踩刹车，就听到车子发出咕咕咕的声音，刹车断断续续，旁边的老司机说我把abs踩出来了     ,安全性,0,
12950,刹车油不用看公里，两年一换没问题，清理不用做,安全性,0,
1456,刹车片尽量早换，否则磨坏了刹车盘就麻烦了。    ,安全性,0,
13834,没用s啊，1500是没怎么发力，但比起并排等红灯的其他车，1500已经感觉一下就抽出去了，估计其他车都是松开刹车等怠速上来了再轻轻踩油门     ,动力,0,
9914,我的刹车盘2万多就要换了，一圈磨出棱子了，换片跑几天又开始响,安全性,0,
15994,cvt森的刹车片貌似价高且不耐磨，很多4万就换的。,安全性,-1,不耐磨
6786,没开过欧蓝德，小森操控一流，中控啥太LOW。价格有点虚高。其他都不错吧,操控,1,一流
15373,如果提速是楼主最关心的问题 建议还是2.0t AT吧 2.5 CVT组合还是舒适操控为主,操控,0,
16348,要我选森，我追求操控，看你了,操控,1,追求
1972,良好的操控带来良好的驾驶乐趣，单单从机械驾驶操控性能来看，还是名副其实的。    ,操控,1,良好
15732,德系等欧系车的底盘调校还是相当扎实的，操控都不错。斯巴鲁车是拉力赛好手，底盘调校的功底不弱，操控好是出了名的。在日系中，斯巴鲁的操控应该是第一的吧？,操控,1,第一
3706,XT买的是情怀了，这个价钱可以买到打8折的Q5了。不要我是真的爱XT。它的操控，它的动力，高速公路上220一点压力都没有    ,操控,0,
12168,这个轮毂还行，重量也轻不少，操控更灵活了。就是圈跟幅交界的地方容易藏灰，清洗起来有点费劲。,操控,1,灵活
10013,见议要豪华就别考虑买森了。要操控性、安全性、通过性以及偶尔狂野一下，30W区间的进口四驱SUV还有谁     ,操控,0,
13393,蝎子胎应该是主打运动操控吧，一个舒适，一个运动，看你自己的需求了，我也是小白，刚好前段时间换轮胎研究了一下    ,操控,0,
16390,开惯森林人的操控性，为啥会选奥迪。。。操控性不是该选宝马M4之类的嘛？豪华大气上奔驰E啊。。有点不懂   ,操控,0,
2187,斯巴鲁操控的车，轮胎弄这么厚，影响操控！有一个225 60 17 米胖子的，为新gl8配的，我用的还不错，你要不？转给你？我换完还是喜欢235 45 17的p7,操控,0,
8569,森林人真的没什么优点，内饰垃圾，动力不行，操控也就那样，质量差，小毛病多。关键后期还不便宜。我的2.5l尊贵已经非常后悔了，真的不值这个价    ,操控,-1,垃圾
13329,你换的什么轮胎啊？影响操控性能吗。。听说米其林的轮胎安逸，我这个跑了2000的轮胎出手不知道卖的出去不，原厂的   ,操控,0,
6695,哈哈，上一代的cx-5的装配工艺接受不了，后排座椅家人也接受不了，原来一直看中cx-5的操控，但和森林人综合一比，定了森林人,操控,1,很好
10373,我家一辆 cx5 ， 一辆刚买的森林人，在舒适性上差不多，操控也差不多，主要看你想干嘛了，cx5不是全时四驱我掉雪坑里是推出来的。。。你要是钱够就上2.5的cx5，我觉得2.0的森林人是够用，但是今天超车人家奥迪q5没惯着我，看我要提速，一脚就抢我前面去了！,操控,0,
13624,今天试驾，员工也是65的速度过小弯，是不是斯巴鲁的老总都是这么要求的，让人体验这种操控，呵呵，但是这时候车子响胎了，我问他，他说适时四驱的车连响胎的机会都没有就推头了。不管怎么说这种极限操控体现了全时四驱的意义所在    ,操控,0,
13036,看了视屏，这开斯巴鲁的开车太危险了，操控性斯巴鲁完胜。   ,操控,1,完胜
7653,喜欢冠道的内饰，操控性能我没试驾过冠道，但是我个人觉得同价位的操控估计小森更舒服。,操控,0,
8855,我问斯巴鲁4s店导购告诉我说业内共识是电子全时四驱的不被认可的，是假四驱！    ,操控,0,
12480,不差钱，加价就途观，要四驱性能，森林人！这么简单的问题,操控,0,
1347,差钱买欧蓝德，不差钱买森林人，在乎四驱性能，咬咬牙买森林人！,操控,0,
5973,我也觉得，试驾下就知道了！欧蓝德记得不要用四驱eco。    ,操控,0,
7363,科雷傲四驱很差，不用考虑了。皮实耐用肯定欧兰德或RAV4 现在的可靠性都不用担心   ,操控,0,
11111,一路上下山，基本20公里左右时速，森林人的全时四驱，不是白给的！只是在发卡弯或陡坡时才用X-MODE，非常好用，没有丝毫的失控感觉。值得拥有！,操控,1,好用
1087,必须四驱，买手动的就是情怀    ,操控,0,
6144,说得对！！我要换中缸，已经在走程序了！！换上之后，如果发现还烧机油我就继续换，直到我这车跑烂为止，反正换过之后他们还得重新计算保修期！！   ,动力,-1,烧机油
4054,你这么精准的数据是从哪来的？13款以前的20%？13款以后8%？你怎么这么厉害！！车主们公认的是市区内开车不烧机油，时速低于100发动机低转带的时候不烧机油，时速达到120公里或者载重爬坡的时候烧机油严重，令人难以接受，说明森林人的发动机设计的有问题！！到你这儿怎么就不一样了呢？   ,动力,0,
2639,没准给我的报价算上保养换机油和机滤的钱了    ,动力,0,
6246,我的也是烧机油，一起去国家质监总局缺陷产品网上面去反映啊,动力,-1,烧机油
1820,2.0.  14年豪华，没有烧机油,动力,1,没有烧机油
15175,肯定还烧，但愿到两年后烧机油的车友多了触发召回，那就爽了……    ,动力,0,
14598,不知道现款的POLO如何，我原来的老车就是POLO 07款，目前还在用，主要是限号时换着用下。 同样也是换过减震后备箱液压撑杆，每年一次正常保养换机油即可 POLO 1.4 唯一问题就是动力弱了点，低速噪音大。 其他没什么问题。,动力,0,
16967,我之前都是一万一换，每次节气门都脏的一塌糊涂，机油也乌黑发亮。 现在感觉国内的空气和油品，最好6000~7000一保养比较保险。有问题也能及时发现。,动力,0,
10970,我们城市还没有一辆烧机油的森林人，算不算运气好     ,动力,0,运气好
10871,11-12烧机油更严重……1500高速一升市区也烧机油    ,动力,-1,烧机油
9265,2T不烧机油，一万问题不大    ,动力,1,不烧机油
698,准备2.5豪华 纠结3点。。。第一就是这个山寨导航 还有cvt。。。烧机油。。。,动力,-1,烧机油
